sdss_id,teff,logg,fe_h,mg_h,v_macro,snr,g_mag,bp_mag,rp_mag,plx,e_plx,gaia_dr3_source_id
60576464,4099.716,4.7404156,-0.65889996,-0.65957993,4.5451527,70.99772,14.449636,15.528917,13.418373,7.0830674,0.017288012,1332374760177447936
60576488,4934.604,4.631576,-0.2363158,-0.18186441,8.59192,185.62814,12.506116,13.059264,11.779982,5.8362594,0.08298225,1332377818194169216
60576490,4722.876,4.546794,-1.4038543,-1.5830872,4.9108014,94.22689,14.062303,15.512865,12.885664,16.928278,0.015354773,1332378161791554432
60576559,5836.5933,4.020304,-0.07054721,-0.15215541,4.113568,136.99706,11.760587,12.059548,11.299018,1.8396792,0.02653053,1332389294346806144
60576572,5464.9233,4.3435583,-0.46887967,-0.19340287,0.43449733,139.4362,12.175648,12.518384,11.662132,3.7925537,0.0111978855,1332390561360924288
60576590,5805.602,4.574672,0.20100725,0.15020573,5.1302204,181.15692,12.031263,12.371171,11.5298815,3.4099674,0.0108284,1332392489802479232
60576617,5480.1284,4.5584493,-0.27665153,-0.18216524,4.595038,426.6646,10.119701,10.48631,9.5856,10.795677,0.012659585,1332395582179417856
60576627,5651.5713,4.437815,-0.03284925,-0.12427341,9.745264,84.037445,9.2231865,9.558317,8.717036,9.327996,0.020914955,1332396716050312448
60576637,5950.9263,4.1807942,0.014405565,-0.09795183,6.566528,176.69963,11.688761,11.984949,11.230734,2.1191025,0.011947375,1332397987360575360
60576641,5351.9346,4.3934927,-0.3002126,-0.22779484,8.789566,134.08548,11.995415,12.316648,11.384347,3.7966876,0.13354743,1332398330958473600
60576670,6072.405,4.3107057,-0.32582024,-0.35829714,12.410379,230.59799,11.76709,11.976486,11.341493,2.2299483,0.012487543,1332402037513537280
60576679,5175.976,4.992486,-1.4846869,-1.7735192,2.5114791,98.59539,14.644548,15.974587,13.508226,14.793614,0.01924294,1332403450559001728
60576681,5393.3164,4.4961257,0.03916432,0.16135575,1.8374065,126.91112,12.785977,13.181887,12.226691,3.1197848,0.010753798,1332403759796634368
60576754,4435.8955,4.6763062,0.044870034,0.08627147,1.7291232,106.84395,13.459364,14.103548,12.692328,4.7558994,0.011713869,1332412349731333632
60576777,5713.364,4.2614923,-0.23468575,-0.19478859,5.993034,127.73067,12.349968,12.653023,11.884689,2.2341795,0.010058224,1332415304668743168
60576816,5771.548,4.0669394,-0.47453058,-0.39515498,4.4735503,1006.5592,8.848559,9.021441,8.28146,7.7629366,0.066829085,1332419221678934528
60576882,5585.926,4.524715,-0.2874821,0.014927498,13.10566,165.17014,12.526393,12.889239,11.9959955,2.3711705,0.0147895105,1332431483810367104
60576923,5965.7573,4.208587,-0.12181054,-0.24143654,9.742238,93.617546,12.241514,12.500118,11.8124895,1.7924348,0.009761185,1332436981367458560
60576929,5673.755,4.5690665,-0.10097449,-0.18688451,6.0623207,167.367,11.827135,12.168339,11.320687,4.3988957,0.027590467,1332438183958298496
60576930,5556.861,4.618905,0.03279025,-0.05523321,5.2388062,172.56099,12.076496,12.450463,11.537244,4.3801923,0.00900537,1332438188254551808
60576937,6126.37,4.6206403,0.29730585,0.20074517,5.2390337,167.56155,12.00231,12.320764,11.521372,2.5673387,0.009432478,1332439493924600576
60576971,5666.103,4.335643,0.12674312,0.118227355,4.328771,105.87823,12.848932,13.19837,12.338578,1.9843903,0.013059603,1332445060202209280
60576985,4814.566,4.643437,-0.014234816,0.089460656,5.2364645,157.11365,12.937034,13.489425,12.239123,4.8629775,0.021233862,1332447121786525184
60576986,4811.355,4.623904,-0.24789329,-0.19794925,8.668145,120.09104,13.310535,13.872361,12.598785,4.0062404,0.017598074,1332447774621605760
60577022,5786.366,4.5616145,-0.09730265,-0.23909831,7.9539647,67.18923,12.602547,12.928317,12.107566,2.6877987,0.010032691,1332452619344669696
