sdss_id,reduced_chi2
54653156,15.6848
56053883,15.5685
55784105,15.5639
54482343,15.5560
55202564,15.5265
55127299,15.4637
54867776,15.4326
55958631,15.4125
55779255,15.4082
55745838,15.3061
55098394,15.2761
55015497,15.2332
56241664,15.2157
55341678,15.2150
54665196,15.2092
54651155,15.2077
54751063,15.1639
55199324,15.1217
56294104,15.1137
54468282,15.0974
56282653,15.0622
55117821,14.9990
54640532,14.9971
54775255,14.9811
54632426,14.9477
56030236,14.8716
54572432,14.7191
54775985,14.7128
55750133,14.6680
54394490,14.6296
54526170,14.5968
55196042,14.5688
56030134,14.4677
54794503,14.4232
55746839,14.3602
54992234,14.3544
55288666,14.3347
54999878,14.3331
54775946,14.3284
54644103,14.3127
54500225,14.2840
54501446,14.2687
55297932,14.2330
56306296,14.2108
54791895,14.1780
54749490,14.0635
54984834,13.9859
54870442,13.8594
55924015,13.8057
54564438,13.7613
55817739,13.7233
55920290,13.6728
55658127,13.5983
54637504,13.5457
55224138,13.5329
54844545,13.4240
55117739,13.3850
56128565,13.3792
54611253,13.3679
54878088,13.3627
55256565,13.3204
55746221,13.2740
54535469,13.1717
54706442,13.1648
56304805,13.1486
55939846,13.0997
54623882,13.0984
55294167,13.0633
54787579,13.0151
54662577,13.0130
56055330,13.0047
56281376,12.8835
54979756,12.8391
54911606,12.7276
54850696,12.6911
55791517,12.6339
55113504,12.5876
54398691,12.5074
54738585,12.4799
54388216,12.4428
54621464,12.4075
55308342,12.4073
56283760,12.3905
55300660,12.3717
55789435,12.3495
54847974,12.3248
55356047,12.2922
54745872,12.2455
54876654,12.2233
54650784,12.1769
54398175,12.0929
55053011,12.0918
55746841,12.0742
54628509,12.0305
54985209,12.0267
55128737,12.0096
54640654,11.8938
54790688,11.8897
56270257,11.8577
56049765,11.8329
56302274,11.7727
55045849,11.7680
54867597,11.7565
54665295,11.7439
54572332,11.7322
55177249,11.7288
56255930,11.7068
56304369,11.7004
55111591,11.6208
55001467,11.6032
55750298,11.5957
55793735,11.5764
54490796,11.5742
54730691,11.5586
56049597,11.4613
54459757,11.4134
54422124,11.3285
55967191,11.2913
55324077,11.2721
54755487,11.2440
54981053,11.2151
54468052,11.2087
54623177,11.1980
54749099,11.1738
55501736,11.1589
56231163,11.1587
55747313,11.1577
54478799,11.1504
54383089,11.0971
54599749,11.0871
55075525,11.0711
55098585,11.0667
55116653,11.0633
55939553,11.0276
56270349,11.0210
54707569,10.9736
54929022,10.9725
55342178,10.9510
54666285,10.9385
55794905,10.9044
54400542,10.8577
55819236,10.8571
55761259,10.8443
56304423,10.8263
54750757,10.8049
55087170,10.7958
54868813,10.7737
54384398,10.7507
55213809,10.7478
55746039,10.7278
54653404,10.7199
54832682,10.7108
54665211,10.6992
54389138,10.6476
54865098,10.6371
54985703,10.6367
54746404,10.5904
54400419,10.5695
55216884,10.5672
55939379,10.5622
54516012,10.5483
55088000,10.5371
