sdss_id,n_visits_rv,dv_rad_max,v_rad_std,v_rad_median,mjd_span
61552085,3,0.208,0.087,-2.212,3.00
61552619,3,0.380,0.161,-11.690,3.00
61552997,3,151.963,66.642,60.867,3.00
61553428,6,0.979,0.313,20.773,779.00
61553645,1,,,-23.275,
61553795,4,0.146,0.057,-54.159,7.00
61553971,5,0.152,0.058,40.946,779.00
61554044,3,0.118,0.049,40.909,3.00
61554105,8,12.471,4.396,-15.590,775.00
61554692,3,0.151,0.065,-0.751,3.00
61554962,3,0.296,0.133,-3.052,3.00
61554966,2,0.182,0.091,-8.655,3.00
61554998,5,0.352,0.135,16.934,775.00
61555646,5,0.334,0.150,-12.304,775.00
61555839,5,7.184,3.446,19.540,775.00
61556941,3,0.085,0.038,-4.658,10.00
61556958,3,0.034,0.014,-19.488,3.00
61557207,5,0.869,0.306,-19.334,826.00
61557416,4,5.982,2.298,-116.775,93.00
61557461,8,93.222,38.903,-43.311,831.00
61557642,4,11.466,5.205,6.396,93.00
61557776,4,7.980,3.168,-2.779,93.00
61557958,5,6.527,2.355,-12.876,826.00
61558146,5,12.632,4.647,13.683,826.00
61558740,1,,,-0.436,
61559148,4,0.168,0.067,53.724,93.00
61559633,5,0.214,0.071,-65.594,826.00
61559762,5,2.831,1.030,-7.651,826.00
61559799,4,3.293,1.228,-179.964,93.00
61560044,8,2.085,0.740,1.421,831.00
61561243,5,45.558,18.454,-33.921,826.00
61561339,1,,,17.562,
61561439,4,0.411,0.147,0.215,93.00
61561692,3,0.335,0.157,-20.338,60.00
61561767,4,11.443,4.474,-27.468,93.00
61561768,4,0.375,0.145,10.558,93.00
61562042,3,7.577,3.109,-33.324,60.00
61562110,5,0.244,0.095,-19.158,826.00
61562111,5,0.338,0.121,-43.404,826.00
61562487,5,0.043,0.016,-25.054,5.00
61562499,3,1.894,0.775,35.073,93.00
61562522,4,0.500,0.183,-41.577,93.00
61562845,4,0.293,0.107,-25.544,93.00
61563179,4,6.886,2.596,-57.900,93.00
61563363,3,3.949,1.637,-46.583,93.00
61563391,1,,,-14.581,
61563489,4,2.658,0.980,10.327,796.00
61564109,1,,,-27.056,
61564222,4,0.096,0.040,-20.139,93.00
61564337,4,2.484,0.884,17.316,93.00
61566542,23,1.273,0.322,13.672,420.00
61573804,2,0.013,0.006,-20.703,1.00
61573833,2,0.114,0.057,-14.488,1.00
61574326,2,0.045,0.023,-11.519,1.00
61574589,2,0.033,0.017,-25.018,1.00
61574865,2,0.001,0.001,-36.445,1.00
61574897,2,0.015,0.008,-18.151,1.00
61575192,2,0.011,0.005,-20.889,1.00
61575204,2,0.239,0.120,-43.697,1.00
61575402,2,1.159,0.580,1.739,1.00
61575411,2,0.012,0.006,-16.589,1.00
61575839,2,0.008,0.004,-52.908,1.00
61575869,2,0.062,0.031,-23.298,1.00
61576145,2,20.291,10.146,18.919,1.00
61577606,1,,,2.782,
