sdss_id,teff_seed,logg_seed,feh_seed,verdict,prefers_binary,delta_chi2,f_imp,min_fimp_required,best_q,best_rv1,best_rv2,teff_single,logg_single,feh_single,error,sb2,gaia_dr3_source_id,ra,dec,teff_floor
56732034,5261.131,4.474403,-0.18573017,BINARY,True,1233.499273716594,0.2226980028783566,0.14,0.673319847697755,-0.0040489809415083,0.1891715476309861,5543.247241913333,4.751236846067431,-0.0940305695973675,,True,729548096996425856,157.521823,29.35185,0
56777026,5605.7715,4.6221013,0.19943006,BINARY,True,1388.4963276062315,0.17803489009034,0.14,0.8543339225535759,1.162640100041083,-3.9062206779213247,5346.523304344804,4.463209437019055,0.092948651630278,,True,738839790589420160,152.703479,26.121064,0
56842553,5128.792,4.7817473,-0.33360702,SINGLE,False,1090.5694260143318,0.1357998038355519,0.14,0.9999998031080468,5.1730581155708215,-2.073202205982416,5151.50087044922,4.889371405172938,-0.2774537413599525,,True,751030183381611136,159.088427,34.939334,0
56912491,5528.239,4.472185,-1.4716203,BINARY,True,45825.387483236846,0.2686088538878109,0.14,0.5769096749631718,27.11111240536332,-0.8277009277268572,6910.920834831293,4.849223596796317,-0.8870088447911608,,True,765038614353808768,167.204225,39.919494,0
56966029,4188.859,4.5158687,0.09594239,BINARY,True,2233.0900950875657,0.1802137678438526,0.14,0.9952125648683704,-1.1533624165160108,1.487287667936492,4200.217384791814,4.863685162916959,0.233999461104699,,True,775725863080796544,164.734011,39.913139,1
56979394,6833.255,4.867048,-0.21537057,BINARY,True,4619.538166213133,0.2853571338409668,0.14,0.9956988478557754,14.98149538540294,-15.010012965931116,6493.038090653844,4.556665513196948,-0.3845529048715848,,True,778491070400277632,164.476824,42.317947,0
57014153,5942.1216,4.467273,-0.30953017,BINARY,True,963.7591589320108,0.1855447409540074,0.15,0.943480153978048,-0.1082423321483367,0.1373142573868953,5990.893581462496,4.377588788157355,-0.2490423008639919,,True,785233997256743040,170.341172,45.825218,0
57027287,4092.7808,4.7599874,0.22643007,BINARY,True,2297.3118246863087,0.2815774669309744,0.14,0.9962606898493506,-0.0999950008144546,-0.0011576827837222,4200.038351713173,4.910897276889201,0.2186312806319971,,True,787593411777429632,177.19812,48.552914,1
57031409,5479.493,4.0085397,-1.3706652,BINARY,True,75830.92136946041,0.3357953455191808,0.14,0.8725657900029585,1.7103630174003148,45.50805789344158,6463.017379324747,4.509156243075037,-0.7438023130122746,,True,788335925717655040,170.489121,46.775291,0
57041819,5015.595,4.6847744,-1.4314302,BINARY,True,22500.03338715811,0.4237595751486489,0.14,0.7793532962703358,-0.5559377988449676,40.25644093213977,5285.440147569739,4.51329694087628,-0.9842004758764938,,True,790204786248592256,170.586487,49.969307,0
