sdss_id,teff_seed,logg_seed,feh_seed,verdict,prefers_binary,delta_chi2,f_imp,min_fimp_required,best_q,best_rv1,best_rv2,teff_single,logg_single,feh_single,vmacro_single,vmacro_1,vmacro_2,labels_single,labels_binary,error
58598554,5196.089,4.33764,-0.24268132,SINGLE,False,242.62257195120037,0.04302365096412014,,0.9232459378007352,-1.0533658296296629,2.855587263770655,5334.581320694331,4.507770862221383,-0.1672805582497141,3.2258406145218217,0.8647090719842843,0.44363640201166576,5334.58;4.50777;-0.167281;-0.299833;3.22584;-0.0438296,5239.01;4.16022;-0.189713;-0.3;0.923246;0.864709;0.443636;-1.05337;2.85559,
58599903,4051.7937,4.8681617,0.28559273,BINARY,True,24555.408923652256,0.45929482449626485,0.14,0.9991651000389422,-0.08997265966402127,0.4208045691509341,4201.007523332155,4.637476632861448,-0.06058207402612223,13.037608446396993,3.6809515698528514,3.453207689768193,4201.01;4.63748;-0.0605821;0.0440793;13.0376;-0.169218,4200;4.99966;0.29356;0.264049;0.999165;3.68095;3.45321;-0.0899727;0.420805,
58606268,5505.257,4.7046986,0.032874085,SINGLE,False,830.3089787466488,0.13094380040099485,0.15,0.862131476167462,1.8379966912076873,-3.0228780134349904,5278.5049548609995,4.558547569069362,0.010386444021531951,10.182829217863658,5.379157496061702,9.092239962042605,5278.5;4.55855;0.0103864;-0.132744;10.1828;-0.16774,5502.43;4.5183;0.0217837;-0.147731;0.862131;5.37916;9.09224;1.838;-3.02288,
58612693,6270.88,4.1857433,-0.15388694,BINARY,True,1298.0155198200773,0.15269932888084037,0.14,0.660612951572465,1.9659547401699116,-4.3546378876094884,6350.069100981862,4.298049822277541,-0.12533140932508544,20.758324671957837,19.333673495489215,12.84589184837753,6350.07;4.29805;-0.125331;-0.262641;20.7583;0.267744,6602.36;4.18276;-0.166286;-0.299268;0.660613;19.3337;12.8459;1.96595;-4.35464,
58628265,5760.244,4.79673,-0.0802835,BINARY,True,1951.546449693824,0.2202573462421022,0.14,0.7940752608860876,0.8022300817642835,-0.439916159996875,5873.809768393541,4.862706324885236,-0.06399215241245396,18.87483054839897,24.69955181702833,8.943571991277635,5873.81;4.86271;-0.0639922;-0.203166;18.8748;0.244529,6438.33;4.87321;0.0220187;-0.115907;0.794075;24.6996;8.94357;0.80223;-0.439916,
58637466,5532.4775,4.0809317,-0.072509035,BINARY,True,13484.13114003393,0.24803432680945098,0.14,0.8831678961336956,-0.3108068870516403,25.10854525073804,5256.465753515025,4.000000263908302,-0.25438888306552726,9.429130832848235,4.9024261600085834,0.0041797209584140405,5256.47;4;-0.254389;-0.3;9.42913;0.265727,5315.83;4;-0.117406;-0.244862;0.883168;4.90243;0.00417972;-0.310807;25.1085,
58643149,5445.795,4.7873163,-1.4091287,BINARY,True,21086.955536180525,0.22820524016537733,0.14,0.5304708999067922,17.489207546478703,-1.9091137062338457,6673.470341833055,4.70266650540899,-0.7685882413213782,23.881059959237852,21.904101889910663,44.775000000000006,6673.47;4.70267;-0.768588;-0.3;23.8811;2.07083,6952.78;4.75612;-0.80681;-0.298517;0.530471;21.9041;44.775;17.4892;-1.90911,
58644941,4743.2734,4.696683,-0.23106308,SINGLE,False,79.75019959929341,0.04992803763273973,,0.9079968115210986,-0.4685712870397912,0.7198610707082284,4910.314816079822,4.698269392060863,-0.22654086944952612,5.778642475511295,4.613871129965875,6.124734560986597,4910.31;4.69827;-0.226541;-0.112016;5.77864;0.0878735,5034.58;4.68288;-0.225216;-0.114737;0.907997;4.61387;6.12473;-0.468571;0.719861,
58645317,5321.7036,4.5991974,-0.39307263,SINGLE,False,3.092281986027956e-11,0.05698435723404211,,0.9999999999,0.0009588759507190431,0.0009588759507190431,5245.231088917165,4.489712345086898,-0.4140587355060181,1.905648147098797,1.905648147098797,1.905648147098797,5245.23;4.48971;-0.414059;-0.196228;1.90565;0.000958876,5245.23;4.48971;-0.414059;-0.196228;1;1.90565;1.90565;0.000958876;0.000958876,
58645979,4954.8115,4.948662,-1.4687043,BINARY,True,9832.82525532036,0.23855566106975834,0.14,0.9894359198242532,-0.494891665115322,39.78588519481766,4677.297890128892,4.000062904798568,-0.9998887131353104,31.661521648710348,11.463293743073415,28.190500071049403,4677.3;4.00006;-0.999889;-0.299898;31.6615;1.56282,4200.33;4.23321;-1;-0.3;0.989436;11.4633;28.1905;-0.494892;39.7859,
