sdss_id,status,n_ep,n_kept,P16,P50,P84,e16,e50,e84,K1,v_sys,method
55762935,unconstrained,10,5,,,,,,,,,twovel
55764438,ok,8,45,2.531918093971987,12.648068945291492,22.142499871795053,0.676496022465613,0.7868110520075328,0.8753960570648739,24.473935037571838,14.691722290187377,twovel
55765333,ok,8,8,25.473136914208567,49.8374941674591,49.95374864065977,0.09164726392602167,0.1567604195360911,0.3208126865511284,24.681781461036984,55.8213949767937,twovel
55779289,unconstrained,8,5,,,,,,,,,twovel
55780284,unconstrained,10,4,,,,,,,,,twovel
55895356,ok,10,8,2094.8426217965443,2159.909148139904,3137.3270787679608,0.06876934323482348,0.1336280437778215,0.22365052767267327,8.529157589221686,50.09969152456965,twovel
55897163,ok,9,34,592.3941406816438,1657.7093376942205,3190.950291083052,0.103247185779056,0.3007813827897551,0.8456647634041725,7.12221808857981,-69.34640908457233,twovel
55897177,unconstrained,14,3,,,,,,,,,twovel
55897464,ok,16,167,639.3973920826746,836.1875395280008,3256.9045871462645,0.2338319438092752,0.5564237557969138,0.8015060961582628,29.603974959691488,-10.997179175428077,twovel
55918850,ok,9,43,6.403961877653157,3517.229854783215,4509.374547414466,0.1330302954428199,0.4788661614399982,0.685089532414455,42.16649254449769,-31.279738311066776,twovel
55919959,unconstrained,12,4,,,,,,,,,twovel
55920062,unconstrained,16,3,,,,,,,,,twovel
55921437,ok,11,21,0.9435694242102496,48.58071150241485,121.57351972961827,0.05336658238493212,0.16916205750073582,0.5632692889044343,17.8965280396373,-30.94820399384173,twovel
55922062,ok,9,22,382.2890180816593,396.10862841809114,408.86241348561634,0.3563263352414115,0.5305812186386865,0.7765957169181851,4.904299595547846,12.156709322658482,twovel
55936104,ok,16,13,22.41097557131032,130.85256169541316,361.2434185894459,0.1971933505017175,0.48646474544369833,0.8242365667631774,28.0751381616457,-2.7727317380043894,twovel
55936992,unconstrained,16,4,,,,,,,,,twovel
55938293,ok,14,9,17.52637701702883,59.49093291656123,59.52444867436845,0.15921383550047952,0.33884238089362645,0.41853592816344243,38.540328338783944,19.65677728229873,twovel
55938385,unconstrained,14,6,,,,,,,,,twovel
55938411,unconstrained,15,5,,,,,,,,,twovel
55938503,ok,16,498,270.6347777244849,719.0039847446355,1998.75796356852,0.16520024364534439,0.5086603768110867,0.840917198994746,14.831841128294508,-18.148661249396945,twovel
55938567,unconstrained,14,5,,,,,,,,,twovel
55938569,ok,14,25,5.918706671229018,81.37365053332485,106.44271989189122,0.12570906373000723,0.31786006578309645,0.6837646869458425,24.82552649623864,37.66931392287425,twovel
55938573,ok,14,18,40.36463891690266,641.3626298705952,1347.720014860885,0.16584034747159368,0.23013971269117423,0.4640301559430384,14.901139787947915,33.4858929311672,twovel
55938692,unconstrained,16,4,,,,,,,,,twovel
55938734,ok,10,57,13.74624176001504,270.84190538895706,822.5084548084075,0.09337452175703513,0.30874249862483166,0.6185981654480912,14.273096815744625,29.030752808573805,twovel
55938881,ok,16,8,7.196329568782961,14.384698867712403,20.279266847733805,0.6808617839950478,0.7415214329137487,0.7640100327671641,23.917439014620264,29.414469242270382,twovel
55938918,ok,14,91,73.68573172222263,965.9179359729071,2057.9795679903873,0.07707469223303287,0.266190432017713,0.7021500414354895,28.278184389909253,50.86033936712178,twovel
55939689,ok,16,39,801.3845149595342,1481.9126422759218,2996.909025562222,0.05644320221434228,0.21922279984972307,0.7446581403728856,22.862889755785968,37.971060614766415,twovel
55940018,unconstrained,16,3,,,,,,,,,twovel
55940396,ok,16,9,14.759743362335039,22.83626993008128,38.24819616835082,0.4597579103281315,0.585258024385255,0.7407119889134,43.35224564424451,22.775650913526995,twovel
55958618,unconstrained,16,2,,,,,,,,,twovel
55960752,unconstrained,16,7,,,,,,,,,twovel
56124587,ok,16,227,7.007164909804875,24.554437666114616,314.9756606511446,0.2496091451215573,0.5846695158515189,0.8169168076927693,15.255927566936576,-19.595688025033315,twovel
56314482,unconstrained,8,6,,,,,,,,,twovel
56334457,unconstrained,13,4,,,,,,,,,twovel
56363951,ok,16,149,2495.4106815249293,2765.2058938546984,3034.9813732147904,0.1564414510753164,0.49374689753456696,0.7547990489308254,11.737911694650153,62.49248345144879,twovel
56366535,ok,15,8,18.742520435889123,41.46849818645744,67.6538734261187,0.8614673072957961,0.8854549635583961,0.9071019724490769,25.00289864909541,73.37327425743374,twovel
56367378,ok,13,17,1.0544537136350713,4.579544103655583,9.601250089778567,0.5640170579829047,0.6830263394776671,0.8184719195491326,30.520250058646607,11.514202812142647,twovel
56445988,ok,14,279,193.920591201001,401.96615738033466,4340.23602245357,0.13488224304174823,0.39378615569391373,0.7566094926281153,6.243481433149689,-42.04885103575305,twovel
56446644,unconstrained,8,4,,,,,,,,,twovel
56446960,ok,10,14,2.6110439209779797,15.326669330921053,18.85392972473355,0.026358657543455948,0.1059043955162197,0.2901961652361527,49.68268885598194,16.173960298734364,twovel
56451703,ok,11,91,192.43375981678713,397.1755775057795,1901.92250667506,0.13772120235339178,0.40386829688093523,0.7881918843191456,9.405595395854984,13.112301501736376,twovel
56452216,ok,12,8,159.263718664254,222.6053977874445,556.9045857550105,0.14702778187691704,0.6909120743411172,0.8523616198808213,46.6499914056586,14.725470104770274,twovel
56453283,ok,12,11,1292.8078839807736,1792.0949226138243,2190.761197423447,0.5557118794825924,0.7920146184785266,0.9236330494985204,12.892685211936778,12.706778997042106,twovel
