sdss_id,gaia_dr3_source_id,in_kovalev22,in_kovalev24,in_kounkel21,kounkel_sbn,n_visits,prefers_binary
56316128,666034258064243584,0,0,1,2,2,True
61393439,1452487918656095616,0,1,1,2,3,True
61575204,1483620281159950336,0,0,1,2,2,False
54880071,465643316106684032,0,0,1,2,7,True
57013859,785191700418844416,0,0,1,2,2,True
60301258,1296307102295142784,0,0,1,2,2,True
74337738,3076346093279013632,0,0,1,2,5,True
76204862,3278683617501649920,0,0,1,2,3,True
60484789,1320870050328442368,0,0,1,3,4,True
60951125,1381085564829735168,0,0,1,2,8,True
70285386,2533548534431692160,0,0,1,2,2,True
94002866,5003410301661562112,0,0,1,2,8,True
129049843,4077491528282437376,0,0,1,2,2,True
57916555,920915965508077824,1,1,0,,4,True
76168748,3267521581614247168,0,0,1,2,8,True
80645874,3970182010811009408,0,0,1,2,6,True
83860763,4086820124138772352,0,0,1,3,3,False
69977148,2471762651036123392,0,0,1,2,6,True
60485503,1320980723041049856,0,0,1,2,3,True
61605856,1489124191553929856,0,1,0,,5,True
67052372,2073474596941895168,0,0,1,2,8,True
67699099,2129738080084514688,0,0,1,3,4,True
73423810,3006128184056877184,0,0,1,2,6,True
111638444,6632312898199175424,0,0,1,2,4,True
115019634,60949713397125376,0,0,1,2,3,True
55897308,598960436699728256,0,0,1,2,4,True
59964569,1240888142841044224,0,0,1,2,3,True
60957221,1381931226710269312,0,0,1,2,3,True
61417952,1456056658521318656,0,1,0,,2,True
107046238,6046649027423062784,0,0,1,2,2,True
54808636,459263125008371712,0,0,1,2,3,True
62495905,1652740012919131136,0,0,1,3,4,True
80603569,3961757861956947840,0,0,1,2,8,True
87371697,4274869292908169088,0,0,1,2,8,False
56578994,702671085012593920,0,1,1,2,2,True
57560028,876505316472406528,0,0,1,2,2,True
60916790,1375701428187135488,0,0,1,2,3,True
70172821,2510923333910924032,0,0,1,2,8,True
71317043,2728587023728028928,0,0,1,2,3,True
73915765,3047029711676053632,0,0,1,2,5,True
80101341,3862818475634489216,0,1,0,,8,True
87355573,4273218784204746240,0,0,1,2,8,True
56505710,690254815597608704,0,0,1,2,2,True
61489988,1468618269634034176,0,0,1,2,5,True
66531844,2044012564384668800,0,0,1,2,3,True
68962031,2249965347255319936,0,0,1,2,2,True
69538538,2368732089321256192,0,0,1,2,3,True
58376924,978055385780537856,0,0,1,2,3,True
60279932,1292727058074843904,0,0,1,2,5,True
61841421,1533720658054292608,0,0,1,2,2,True
62225171,1605634048566555520,0,0,1,3,3,True
75267586,3148643174695752192,0,0,1,2,3,True
75864168,3220122799277479680,0,0,1,3,4,True
80142896,3871448340537955968,0,0,1,2,2,True
111581841,6623238761872697856,0,0,1,2,3,True
61285771,1434121435908310784,0,0,1,2,2,True
70684422,2614413530141121152,0,0,1,2,2,True
57296873,838681390626464000,0,0,1,2,3,True
62047400,1572128630734214016,0,0,1,2,6,True
67161877,2080653858099136640,0,0,1,2,3,True
70674810,2612723443330344192,0,0,1,2,2,True
85827649,4166422227669370880,0,0,1,2,6,True
57959411,927616561165746176,0,0,1,2,4,True
