sdss_id,l,b,flagged
54499805,120.17161586196231,-1.3727607388599568,False
54499925,120.54306976369371,-1.353719611790019,False
54499962,120.46201627188192,-1.3443961984621318,False
54500046,120.57739434809577,-1.2812248604408485,True
54500225,120.56510285045282,-1.1200973182526492,True
54500291,120.28584220297078,-1.2903224572165002,False
54500396,120.28403831231654,-1.152323715077722,False
54500586,120.34300268515645,-0.9150799589955438,False
54500728,121.07031957027765,-1.355573303273775,False
54501088,120.9883411570885,-1.030811409756572,False
54501108,120.92137080971966,-0.9784139932639699,True
54501446,121.0178428244736,-1.0374959329763402,True
54501752,120.60134519514378,-1.1219408191645572,False
54501952,120.75708481231834,-0.9014630495374767,False
54501955,120.73636431375172,-0.9050652353632473,False
54501965,120.73598004515273,-0.8407510011539154,False
54501991,120.59828637620227,-0.8994156760437985,False
54502028,120.54761954376603,-0.8354580220275882,False
54502510,120.6787335720351,-0.6268960397952129,False
54502763,120.45594294573488,-0.5590977041211036,False
54502910,120.38190497875796,-0.34797511644397217,False
54502941,120.56824868107337,-0.4183809499973947,False
54503059,120.38960212762123,-0.24644713917523156,False
54503194,120.08211245458766,-1.3513710512661112,False
54504009,119.97821744035974,-0.6617483080661032,False
54504429,119.54284207321467,-0.7767727232286469,False
54504468,119.47558410015014,-0.7684872196482497,False
54504496,119.46856106958457,-0.6864984860478193,False
54504514,119.51607706173198,-0.6515229933213369,False
54504551,119.25183344551957,-0.7856140150772629,False
54504659,119.36264053082559,-0.6314219249572742,False
54504732,119.26971383010614,-0.5823561948677053,False
54504822,119.58723712625964,-0.6517688600994123,False
54504911,119.51172288568989,-0.4914037529351551,False
54504915,119.51916511388187,-0.4567853410561094,False
54505211,119.25846137035056,-0.35929380592255594,False
54505245,119.34175912566926,-0.2586989429112391,False
54505373,119.34068179555881,-0.19048391249556523,False
54505788,120.01410579470574,-0.4017848761519487,True
54505916,120.038872022007,-0.35916009551215367,False
54505927,119.95008886347647,-0.30021177566353696,False
54505994,119.90690675496086,-0.3011699691473039,True
54506156,120.32247111338773,-0.2507205453692375,False
54506197,120.14238501616563,-0.26025292121629606,False
54506272,120.34945578103299,-0.18005131772494556,False
54506466,120.02645632706162,-0.08466841860933218,False
54506950,119.7338001777169,-0.1342529222218974,True
54507371,119.33448965220802,0.2604846737894967,False
54507598,119.6288902579697,0.38760511003514697,False
54507832,119.45192269183289,0.3659907797353012,True
54507874,119.4967886525117,0.45102841060054244,False
54508512,121.05979699288473,-0.4209324448187349,False
54508552,121.09005995071465,-0.31552790455001617,False
54508728,121.29908559671219,-0.3372108584801834,False
54508934,121.32254109395232,-0.08688731447260492,True
54508955,121.29242146505507,-0.041131954155038175,False
54509068,120.94944196016044,-0.10144716872289958,False
54509726,120.43967570358164,-0.033705233787357215,False
54510470,120.53994443834681,0.4490897403281365,False
54510620,120.67699970697105,0.5281652614514473,False
54511390,121.11982479013601,0.5993340234389134,True
54511888,121.24660003541136,0.9134234328980593,False
54511889,121.24559736068109,0.9138267804039724,True
54512248,120.90934614023699,0.6631206611755849,True
54512466,120.62124772118693,0.7257439692707628,True
54512574,120.75231432823587,0.8980946994536929,False
54512902,120.82325984965452,1.076070819898823,False
54513275,120.4114197838179,0.15549486231169157,False
54513278,120.4115939405358,0.1577580138345327,True
54513355,120.39252502778884,0.34041508760412564,False
54513452,120.14637781824612,0.16259735888471136,False
54513669,120.17282992692411,0.45569100147279534,False
54514046,120.44874675015566,0.7458866207936867,False
54514078,120.34913167985829,0.7243808101935798,False
54514112,120.3930434307662,0.788156142731473,False
54514204,120.18862880002489,0.7144216783841348,False
54514610,119.78956270972272,0.6290154006676522,False
54514682,119.92035601162358,0.6991009158216082,False
54514686,119.91857214633144,0.6945896070810444,False
54514744,119.74540798665815,0.7391465592705071,True
54514768,119.80192623752927,0.8310415582304346,False
54514992,119.55671342118963,0.9957871683178263,True
54515018,119.60786075254136,0.9889285004552454,False
54515078,119.9507343710129,0.8400247862501159,False
54515205,119.9458010277548,1.0042122762850112,False
54515677,120.4571361147173,0.8073270360525329,False
54515767,120.3790261406352,0.9647072614022263,True
54515768,120.37392836194043,0.9782880466534354,True
54516012,120.12381917178247,1.1213321877865423,False
54516065,120.34116460196014,1.1288311016786767,True
54516149,120.28247002423991,1.3151778986302918,True
54516857,119.97559569030265,1.294962096471091,False
54517241,119.7155304617213,1.5935528960012655,False
54517666,120.1329169915246,1.4996646391238282,False
54517718,120.09285588235876,1.6260700928334955,False
54517874,120.04861153140168,1.9380796592691911,False
54518122,119.87804426951428,2.1318092454928426,False
54518238,119.08931999132973,-0.50203835386772,True
