sdss_id,teff1,teff2
86600693,6168.598370177788,5945.762101975174
86903486,5941.617723674266,5741.065670433165
87036195,4744.0717429525175,4418.919196539473
87098038,6097.729146470331,6097.729146470331
87242844,6341.70461165443,6107.234160499139
87403817,4200.015268928794,4116.440612602727
87508878,5598.568897272568,5198.054260363589
87532940,5055.999920215342,4949.590963247934
87553911,5351.945780961583,4325.30643351549
87659958,5842.863007135523,4679.267716792441
87925295,4200.340222038444,4200.340222038444
88117932,5860.822224139626,5061.862847164704
88225938,6124.700810492564,3995.406586612265
88307812,5271.442699648776,4117.229353922229
88499285,6533.598789194309,6533.598789194309
88507248,4736.461053868223,4405.081751362824
88617090,5700.671764768687,4045.007050518388
88884492,5099.708497645747,4035.932448127199
88952390,4200.008748708717,4200.008748708717
88969207,5186.777486829464,4459.039134559981
89566245,4200.432532728954,4200.432532728954
89577780,6853.13183761408,5532.840078456956
90319359,5211.530239455834,4734.621547613074
90371323,6560.365297780532,6560.365297780532
90394850,5452.977309328542,4413.581674185009
90399053,5128.730414441088,4430.220835200273
90510078,5761.654595651873,5122.040353404633
90810645,6537.051624266501,4532.57237964014
91016735,6165.69465593157,5235.301800000123
91125950,5501.918747951282,4052.926810379181
91144044,5112.483003665462,4320.065670683229
91501236,4768.7859720076485,4364.174567356256
91669504,6467.075960710234,6091.258096237974
91684396,6223.740851472609,5852.993532577241
91691471,6967.992983341414,6721.907799221833
91699885,4867.749850660396,4469.990055576954
91712142,6358.711569933642,5807.055139046887
91738711,6216.054263340891,5011.4952578897655
91747063,6186.406565437586,4176.7697093089655
91774301,5404.137144015729,5404.137144015729
91782256,6994.448145729471,6610.091641074805
91787957,5651.344804749114,4726.117991173995
91789189,5474.854272695483,4214.738463746509
91801011,4559.279389230698,4096.2149022678705
92122651,6144.716657575664,4611.690943259738
92131177,6220.465903862773,4748.76122548488
92483618,4813.454538205192,4184.736484859724
92540985,4200.005101089232,4200.005101089232
92545639,5799.0494152815045,4132.407057499334
92603226,5578.00224187511,3926.9325648752406
92775810,4674.095030319732,4489.095303394719
93333572,4972.244440393304,4157.09257550283
93829127,5822.368464154649,4034.011859581136
94001796,4995.852085880973,4995.852085880973
94855163,5910.037282772826,4503.31607960896
94886940,6679.5625678259385,6679.5625678259385
94889746,5613.977230346445,4490.837286589989
95113246,5866.850656116644,5207.978562475153
95785685,6167.362244850921,6167.362244850921
95795036,5842.047310454088,5842.047310454088
95801974,4200.08722140003,4200.08722140003
95805528,6010.346628380671,6010.346628380671
95818294,5416.046440836999,4261.141013765858
95822347,6251.376674348615,4133.849667168094
95834132,5267.024808209082,4741.776931134616
95839824,4936.8222423602965,4936.8222423602965
95859635,4807.534131763162,4476.290304849742
95986132,5772.497995221289,5272.6209854140225
96000467,4302.693263509706,4302.693263509706
96005427,6465.1019903218985,4673.719583243945
96013378,5734.250458844876,4207.7471725569185
96060063,5982.355329106014,5518.931483583912
96062863,6022.631204254567,5744.2265833037245
96066705,5239.954254023048,4317.284473355009
96072865,5923.680179233791,4136.7572157119885
96119858,5632.504432646383,5535.6647940815965
98346728,5873.72413650507,4078.387793661585
98361927,5785.302656948248,4229.45056936076
98363989,5849.460375509672,5085.613276350071
98368438,5328.522760887121,4037.2718102521258
98387470,6356.472483443085,4801.464469033721
98390417,6085.153734389557,4521.730585268963
98488423,5055.302821921149,4091.8953629770645
98491267,6109.921164832267,6109.921164832267
98494083,5281.357224116931,4059.7988197312457
98523260,5680.465961882925,4066.374252273459
98551124,4996.231961193377,4764.567479045089
98863601,4200.176797856824,4097.332503961939
99853583,5917.260133247327,4637.734623315115
101615045,5557.149601997226,4011.7198382111947
102669705,4200.072651504318,4200.072651504318
104412269,6788.8523026709145,6237.190823118322
106386683,4621.345406892347,4621.345406892347
107025192,5240.617613473784,4435.011191243161
107066469,4885.287895456588,4547.451293283041
107075555,4239.918835815532,4192.99515439196
109045201,5011.474439537668,5011.474439537668
109048272,4200.113023642547,4157.935923783093
109056610,4623.402867613147,4623.402867613147
109064731,4904.510756028317,4281.639784596313
109085895,5168.068503957849,4516.7164244228325
109387423,6462.744512848461,6462.744512848461
109600255,4481.03735181561,4481.03735181561
109633088,6214.218598665118,6038.318811735866
109883625,5747.702735750736,3864.7790643540907
110548724,4976.665966589198,4566.227781775463
111004118,5759.76912687523,4423.945367164623
111027148,5657.385629345621,4848.212761204541
111249666,5829.297909672947,5829.297909672947
111531660,5915.64672889265,5351.961693924289
111582174,4200.711522320908,3974.7610929003654
111583561,5419.8967995886005,4364.15743011726
111717142,4973.407117169608,4161.725537981538
112771642,4515.603689096382,4220.536977980361
113591238,5209.385467921535,4750.8931893493955
113796997,5656.353452936764,4910.144230169488
114200703,4200.082126881785,4200.082126881785
114617280,6243.764341597919,6243.764341597919
114639246,5978.667680024305,5742.608812785837
114797674,6434.254047483058,5970.903210275026
114817721,5098.629421885351,4360.1538376181725
114887479,6497.74155688417,6022.666656507764
114907983,6919.681004311881,6667.366671096079
114956153,5755.972595854668,4266.722438069738
114964058,5956.753684056767,3902.03066232521
114994072,5839.297988338612,4307.3063371204435
115010382,5390.684837554743,4972.9421401804075
115034894,5816.008971886788,5671.746595532443
115058690,5797.120510569774,5583.506662740393
115119579,5185.028204107473,4072.1336175030456
115161288,5943.449912695819,5652.191107810268
115228027,5134.806651503261,4538.42436501611
115279922,4469.92426411596,4469.92426411596
