sdss_id,gaia_dr3_source_id,ra,dec
54646609,445661783911306240,55.4903174,55.9382808
54648261,445839428062761088,56.9090833,56.9145405
54648426,445853756073451136,57.1158839,57.2419941
54649030,445936322521395200,48.3813386,51.9501350
54649341,445975389538755840,48.6396513,52.3464622
54650235,446079289099266944,49.4132710,52.7808257
54651192,446197009856542080,47.7862067,52.8508123
54651312,446217110303753472,47.4715807,52.6429030
54653258,446468348709940864,51.1514683,53.5623897
54653691,446520816030145408,49.9108789,53.7101662
54654882,446660797604624256,51.2855629,54.5694893
54655400,446731853543748992,49.5085772,54.0787119
54655501,446743531555008128,50.2093202,54.2543959
54656369,446844828363252736,50.7147226,54.4935239
54656473,446854857106662912,50.8295133,54.6659453
54657066,446923507863916928,50.6576961,55.0861791
54659108,447190006294739200,48.2363365,54.5606113
54660789,447386024302085760,46.1483226,54.8352294
54662577,447568203935112832,48.5140757,54.7493006
54663104,447629772287298816,48.5464301,55.1213753
54664182,447754261918776192,50.4385744,56.1020944
54664743,447814013502620928,49.5847567,56.2429966
54665250,447865690550249600,48.4644189,55.7189826
54665295,447869401401981056,48.4464398,55.7802513
54666554,448026253606629376,49.1175362,56.6491977
54668042,448233167950718080,52.5029211,55.4479561
54670165,448511687990377216,52.1237554,56.3098585
54670617,448558314154573952,52.8950502,56.3803517
54671659,448685685706089856,54.9143641,56.2458284
54672109,448742688511597696,54.3551424,56.3441749
54672130,448746124485422976,54.3385884,56.4143887
54672630,448809483842638976,55.0306969,57.2742935
54672729,448823223442803968,56.4665460,56.9791637
54673904,448934931252157312,56.6873346,57.9497934
54673997,448944620698448896,56.4445987,57.8712671
54674424,448990387865341440,54.7676563,57.1693867
54675195,449078898550816384,54.2519203,57.7909994
54675254,449087351046349056,54.5409542,57.9444064
54676304,449192629288279808,55.0545769,58.3005418
54676715,449235785115869568,50.8803677,55.9966167
54677364,449308593401132416,50.5786895,56.4978048
54678217,449414696272611968,52.4847138,57.1633373
54678857,449505612139983872,52.0686568,57.9098538
54678861,449506127536067584,51.9185323,57.9027761
54679643,449604843064956800,49.3025166,57.3113054
54679703,449613119463883904,49.6421420,57.4858856
54680845,449775542245067008,51.4890225,58.5267931
54680880,449779145720499328,51.6010321,58.6699590
54680914,449783204466734976,51.1540599,58.5618399
54680983,449791828761000960,51.4562697,58.7304731
54683527,450101513084356992,52.0781784,58.5656218
54683589,450111236890276992,52.3095259,58.7800044
54684230,450191363799927808,52.6920371,59.2109122
54684257,450195555689548928,52.9950775,59.2804517
