sdss_id,n_visits,delta_chi2_23,f_imp_23,q2_triple,q3_triple,outer_component,v1_triple,v2_triple,v3_triple,inner_corr,q_inner_dyn,vetted,vision_triple,double_vetted,fail
62142595,5,49866.37780123917,0.3156331719300176,0.9899084753101024,0.1830469620899719,1,15.42;-3.83;-13.65;-11.38;-12.80,-10.39;-12.37;-3.06;-3.94;-3.36,38.41;72.75;65.64;60.44;69.51,-0.828,1.081,True,False,False,
113283643,3,22701.123340212383,0.3920465748323428,0.9299117200504572,0.2156208072698213,0,22.16;23.28;29.81,17.96;19.22;28.80,30.87;16.38;33.48,0.531,,False,False,False,"V3,V4"
75790058,6,19960.19921212751,0.1632278038617021,0.9097549513227436,0.8761573054560987,0,-0.10;-0.66;1.66;1.36;2.76;-6.55,-28.16;-42.56;-40.47;-23.27;-37.55;-45.57,-42.91;-26.05;-24.64;-43.32;-21.29;-33.62,-0.728,1.256,True,False,False,
59325745,3,20024.86571506715,0.3144496299743203,0.7362752667941177,0.4312347502996428,0,8.12;0.05;8.50,24.74;-21.08;9.20,-21.27;26.22;1.40,-0.988,0.993,True,True,True,
115429953,3,12698.683777070386,0.1942681935361719,0.9899999999999156,0.8558070630880394,1,4.03;-7.49;-39.41,-17.08;-25.82;-22.19,-23.69;-36.77;-12.85,-0.67,2.804,False,True,False,V4
60082888,5,4860.865447666809,0.161821788880256,0.6863245450687823,0.4967590628074345,1,-21.15;-21.89;-13.11;-12.25;-24.40,2.08;1.31;1.64;2.81;-2.64,-27.29;-29.65;-16.49;-13.82;-30.00,0.987,,False,False,False,"V3,V4"
60710618,3,18141.308880637065,0.2397487752629556,0.6988902691423696,0.6048220092277355,0,-5.60;-11.56;-9.83,-48.88;-41.28;-54.86,-110.89;-22.71;-120.19,0.933,,False,False,False,"V3,V4"
61117457,3,563028.1277069761,0.7686460695004227,0.985075860633703,0.10445,1,-8.32;-2.52;-13.38,-4.47;-1.66;-7.39,1.94;-9.98;-15.23,0.261,,False,False,False,"V3,V4,V6"
62361146,5,24119.325788142218,0.2968290255230623,0.9531051126247144,0.1970801908311159,0,3.27;1.98;-3.91;-1.08;-1.31,6.55;-3.55;-2.07;1.95;2.17,5.31;-0.35;-7.12;-5.51;0.48,0.61,,False,False,False,"V3,V4"
79819788,3,101372.476084604,0.4665406419749265,0.9899999947088088,0.8386463077145031,2,11.14;-23.33;24.08,-15.29;-85.31;-17.13,-20.54;-22.29;-16.78,0.958,,False,False,False,"V3,V4"
77413450,6,25597.27928114461,0.1665604675281646,0.7953639574937211,0.1997941837159599,0,-21.83;-27.20;-19.87;-22.69;-27.10;-27.49,-19.55;-29.92;-21.53;-18.43;-26.24;-30.32,3.75;-28.04;-20.35;-22.50;-28.90;-17.83,0.471,,False,False,False,"V3,V4"
59567296,6,13874.271452141433,0.2982794640241482,0.9887426601567872,0.1378424052897703,1,-27.94;-17.46;-25.05;-28.94;-18.59;-21.01,-26.18;-20.25;-29.03;-25.97;-21.05;-20.87,-16.46;-11.72;-20.45;-30.38;-15.07;-37.12,0.321,,False,False,False,"V3,V4"
79847434,7,4870.945843654001,0.1890413642452991,0.5785926195240344,0.3036292455232809,1,-12.89;9.19;5.69;7.30;7.65;8.18;8.56,-5.28;2.62;-0.30;0.50;1.06;2.54;3.08,-26.42;19.13;16.79;17.33;16.67;18.48;20.59,0.995,,False,False,False,"V3,V4"
62140452,3,5187.621640293342,0.2617208639299963,0.738825013534861,0.1407284828190883,0,3.75;5.02;-3.93,31.78;6.79;14.65,-31.63;59.37;-13.74,-0.854,0.311,True,True,True,
58716441,4,67679.28425126668,0.4854805380627476,0.8857824110349802,0.1199312953150222,2,6.46;-21.55;6.98;1.28,40.03;-3.19;40.59;26.70,29.94;26.39;27.34;22.22,0.992,,False,False,False,"V3,V4"
64778075,3,4135.20477026578,0.2143851105745682,0.8463424391899368,0.1581590043728565,1,0.35;2.75;13.27,-6.51;-5.44;-1.40,-72.80;84.52;-50.49,-0.215,0.376,False,False,False,V3
90651715,7,22460.94534067114,0.1532072159309428,0.6693646558683184,0.5558536300489256,0,7.72;7.62;-0.15;-1.26;7.58;-0.63;0.30,-11.74;-8.24;-34.66;-19.69;-4.00;-13.22;-5.87,-48.51;-41.56;-9.03;-54.64;-28.79;-49.31;-29.47,-0.394,1.678,False,False,False,V3
60258916,5,52403.94261301378,0.4356076890749406,0.7509431980395698,0.3958310517900769,0,-9.15;-7.40;-9.02;-8.12;-8.45,8.23;-8.71;-55.27;-44.68;-4.08,-85.01;-17.83;-31.52;-24.55;-15.34,-0.406,2.356,False,False,False,V3
78160310,3,9846.689805014736,0.2956999242552296,0.9433234611136248,0.2659525361797216,1,-9.45;4.84;-9.20,13.29;11.43;4.15,37.73;-11.00;-23.17,-0.342,0.742,False,False,False,V3
57689002,3,2624.228314046089,0.2040272053485926,0.9003398261740796,0.2433107813797536,0,-1.80;1.71;1.38,-5.30;11.50;15.08,81.48;-93.16;-34.00,-0.875,0.14,True,False,False,
62683254,3,2417.4934576856103,0.1884832943843218,0.9816682072347536,0.1495305565969261,0,5.20;5.25;5.38,16.87;17.17;-13.12,12.26;9.56;19.96,-0.97,3.323,False,True,False,V4
75820658,3,2113.5148758942087,0.1915581011034968,0.983151004661724,0.1133743671291471,2,-25.87;-9.23;-12.51,-26.59;-8.96;-10.49,-11.40;-18.65;-8.89,0.994,,False,False,False,"V3,V4"
78160042,6,4351.363154674531,0.195412389881687,0.3390427131945358,0.8076074001497959,2,-1.10;-26.19;0.82;7.98;-2.76;-4.06,11.70;71.72;13.68;-22.92;10.82;22.99,-2.41;-3.38;-4.62;0.58;0.24;-1.49,-0.977,0.386,True,True,True,
62229049,3,6494.022337869697,0.157931531408637,0.3797560522709878,0.5330961071177663,0,-5.07;-6.97;-4.85,-37.97;-29.06;58.39,62.92;-79.98;-24.45,-0.21,3.518,False,False,False,"V3,V4"
80729877,4,1564.5895029069943,0.2353933985649653,0.3883457485687265,0.1941728742843632,2,-23.83;-28.38;-16.72;-17.64,-48.72;-43.16;-57.42;-56.29,-20.74;-20.74;-20.74;-20.74,-1.0,0.818,True,True,True,
80393297,3,1894.1262097590009,0.2083616109978006,0.684895148569473,0.201748803436942,1,-11.39;14.26;16.16,12.20;16.88;16.30,-22.45;62.26;-53.53,0.198,,False,False,False,"V3,V4"
59016703,3,202556.13477486648,0.4690658248588862,0.8362999260479854,0.2975564482506221,0,6.30;-1.50;-0.91,29.00;-27.36;-55.31,23.33;-26.17;-34.82,0.981,,False,False,False,"V3,V4"
66762537,4,31303.25714886716,0.2692591730613796,0.8327182808494467,0.2145858949777523,0,-11.26;-18.07;-14.34;-14.47,-20.33;-12.09;-27.53;-27.37,62.49;-4.03;78.74;77.67,-0.959,0.194,True,True,True,
58549439,4,4194.530017877274,0.2375869253771324,0.8606601812575255,0.3953810003125425,1,15.37;2.41;2.02;2.74,-43.05;-51.78;-50.03;-51.66,20.99;-67.14;-56.25;-53.64,0.989,,False,False,False,"V3,V4"
61252741,4,13836.639078661654,0.1966467749015207,0.6150083242875046,0.6161257804090416,0,4.05;4.86;1.14;4.10,75.37;-24.55;-31.31;25.53,-0.71;-20.65;-23.29;49.74,0.475,,False,False,False,"V3,V4"
79468285,3,18406.52779338219,0.4111657865239136,0.8551694856880249,0.12438759079462,0,-9.14;-16.58;-15.30,17.20;-28.88;-23.51,-9.78;7.72;-27.51,-0.103,13.914,False,True,False,"V3,V4"
57148125,5,11712.382702356466,0.2382334224947389,0.1620296509181478,0.1977093637261688,0,17.60;21.19;21.36;17.90;17.33,-18.70;83.03;-4.39;8.96;-23.16,21.16;15.16;22.89;-65.59;68.97,-0.237,3.74,False,False,False,"V3,V4"
75143762,3,4199.509347000916,0.176355875579658,0.8739785571950004,0.1238565666097102,0,-26.98;-18.52;-28.51,-19.68;-9.57;-20.74,-24.93;-56.56;-16.57,-0.994,0.294,True,True,True,
62225296,3,16246.70482795882,0.3927059424956972,0.7590912281422477,0.2856008885562458,0,-4.62;-7.20;-3.48,-34.76;-45.60;-30.19,3.89;-3.10;10.05,0.981,,False,False,False,"V3,V4"
65413480,3,29381.96567018512,0.4351441075109433,0.8745706251035165,0.7828172080475452,0,17.98;16.03;16.02,96.47;-15.31;62.97,-0.14;-1.48;-10.60,-0.109,92.387,False,False,False,"V3,V4"
60449133,3,165656.68302655336,0.6339224271114619,0.7592531049993687,0.4016723919393726,1,12.14;-1.94;-1.13,8.49;-1.24;-1.15,-29.58;-149.90;-93.40,0.906,,False,False,False,"V3,V4,V5"
65977622,6,16668.563634670514,0.171925423029178,0.4927717586115714,0.2067263250963889,0,15.39;8.12;8.00;16.71;17.64;15.30,2.72;-20.20;-21.06;9.14;13.26;3.57,69.36;-3.82;-5.39;-13.76;68.62;-3.57,0.475,,False,False,False,"V3,V4"
67707857,5,7514.9325023823185,0.2215456729782947,0.9688410672687048,0.2127365198605953,0,-17.62;-10.12;-17.69;-17.46;-17.58,-3.62;6.84;-3.15;-3.22;-3.17,93.51;31.18;-88.98;71.57;58.51,-0.039,1.602,False,False,False,V3
75868970,4,13761.496412097418,0.1456986335989472,0.8982431007909728,0.5870158367746919,2,0.11;-11.10;-4.18;10.72,-0.06;-15.73;-5.28;8.43,6.90;1.85;4.75;9.68,0.985,,False,False,False,"V3,V4"
69417981,3,10260.317971769677,0.3103195305148569,0.6344284229054225,0.5405512551657669,0,-14.69;-20.64;-20.78,12.57;-41.75;-37.53,55.59;-14.45;-62.12,0.885,,False,False,False,"V3,V4"
