alpha,rep,twin,sdss_id,K1,n_ep,loglike
0.10,0,1,56471525,46.6133,14,-60.1139;-46.6436;-71.1264;-80.3675;-70.9730;-46.0044;-37.7470;-53.9140;-62.7349;-63.5315;-69.2736;-34.0218;-67.6326;-61.2714;-67.5456;-76.3790;-65.0549;-40.1947;-89.5594;-100.0378;-77.5284;-59.3866;-67.5742;-69.9781;-72.4754;-49.1427;-47.5674;-88.8446;-84.1033;-79.6401;-54.9136;-64.5109;-79.9706;-68.6998;-136.1184;-110.3305
0.10,0,0,56555643,16.7000,9,-36.6100;-32.4880;-31.9894;-30.3812;-25.9613;-33.1251;-34.3531;-27.5612;-43.1494;-40.7081;-30.3817;-36.7374;-34.6591;-29.4510;-39.4817;-32.6217;-38.9810;-28.9547;-30.6325;-35.0161;-33.8268;-28.0144;-26.4996;-31.9743;-32.4657;-35.2475;-38.6171;-36.7793;-39.3129;-39.4716;-35.5172;-35.3640;-31.4899;-33.6262;-26.0761;-30.7369
0.10,0,0,56577374,41.7709,13,-92.7389;-146.4654;-121.2214;-212.2094;-113.3337;-154.3249;-149.6631;-228.8845;-76.3411;-175.0542;-171.6160;-140.3940;-126.1931;-95.2804;-112.1160;-90.0532;-107.2432;-253.6496;-93.3109;-203.4642;-291.5067;-308.6701;-223.1623;-264.9101;-285.8358;-332.6189;-250.4371;-168.5188;-274.6892;-255.9159;-354.1968;-283.7864;-146.0885;-275.1658;-175.9031;-334.3141
0.10,0,1,56948225,26.0923,9,-34.3966;-32.9850;-41.5515;-39.7826;-39.0672;-31.6648;-36.7749;-27.8303;-38.6443;-39.9583;-43.4793;-36.4368;-44.9397;-45.4164;-48.0985;-38.4113;-46.0047;-39.1402;-38.4233;-31.8081;-47.1396;-47.5228;-34.3046;-40.7408;-41.5050;-44.4286;-43.6193;-46.3905;-43.3298;-49.3446;-30.8962;-42.0435;-45.5582;-38.1213;-45.2941;-40.0451
0.10,0,1,56948422,50.7459,11,-21.9803;-22.7531;-22.0222;-22.3557;-21.9393;-22.6398;-22.5731;-22.2852;-21.6447;-21.8062;-22.0516;-22.3545;-22.6385;-22.0262;-21.8867;-21.7689;-21.3930;-21.5600;-21.8758;-21.6182;-21.0881;-22.0075;-21.9933;-22.4664;-21.9336;-22.0781;-22.1386;-22.2246;-22.3792;-21.5360;-21.7089;-21.6142;-21.1220;-21.0435;-20.8518;-21.0401
0.10,0,1,56995466,16.7572,8,-102.0462;-91.3284;-80.0000;-86.4113;-89.3289;-93.1853;-87.9579;-99.5974;-91.9021;-90.7028;-85.8783;-90.0993;-84.6411;-85.9151;-72.0082;-82.3011;-84.8548;-69.7382;-46.7188;-41.9144;-45.8109;-46.1575;-45.8385;-40.4457;-38.4050;-30.2873;-35.1729;-24.7832;-24.8974;-24.9462;-23.3135;-21.8060;-21.5584;-21.4043;-20.9039;-21.6901
0.10,0,0,56997294,15.3055,9,-64.8635;-68.7020;-65.6966;-65.5557;-73.1916;-72.6330;-72.1192;-60.0039;-65.3326;-68.4029;-61.7901;-67.9795;-69.8037;-71.4504;-66.0762;-65.6621;-64.8643;-61.5102;-63.4349;-61.6434;-66.2134;-50.6243;-59.2877;-56.5582;-50.6622;-49.9079;-43.5903;-47.4057;-48.5588;-51.2290;-45.8956;-44.4303;-51.4228;-45.6464;-38.3172;-45.3128
0.10,0,0,57220942,30.1059,8,-16.4684;-16.4475;-16.4159;-16.4013;-16.4252;-16.4149;-16.4877;-16.4393;-16.4311;-16.4561;-16.4221;-16.4382;-16.4398;-16.4413;-16.4499;-16.4412;-16.4430;-16.4256;-16.4290;-16.4237;-16.4539;-16.4538;-16.4244;-16.4776;-16.4109;-16.3951;-16.3605;-16.3302;-16.2443;-16.2457;-16.1413;-15.9695;-15.9122;-15.7348;-15.4636;-15.1213
0.10,0,0,57228099,26.1838,8,-30.8591;-32.7987;-25.9618;-47.5427;-37.9972;-37.6071;-24.9332;-38.2179;-24.5461;-50.8920;-26.4400;-34.3279;-28.1951;-39.9061;-25.5009;-29.4795;-34.5090;-31.4204;-32.3573;-41.8805;-39.7868;-46.8541;-53.4784;-38.5520;-40.7661;-44.5845;-47.9841;-43.8697;-43.0815;-54.9612;-57.9240;-52.7955;-46.9199;-57.0522;-45.8389;-53.4688
0.10,0,0,57245306,33.3826,10,-149.7517;-95.7240;-115.9572;-112.0437;-102.0281;-112.8627;-130.7818;-133.6799;-95.8813;-92.4063;-144.2472;-104.5143;-105.5441;-104.7983;-112.7991;-129.3541;-121.8329;-124.2142;-95.1348;-90.2867;-119.8731;-108.3825;-56.9791;-169.3288;-44.5217;-179.3251;-83.1224;-86.6578;-87.1746;-136.9481;-138.9257;-86.6814;-136.7511;-135.7979;-110.3218;-118.7625
0.10,0,0,57249920,12.8886,11,-100.6562;-91.2139;-87.1154;-106.0105;-108.7332;-98.5863;-107.1053;-77.6093;-111.1950;-91.5464;-116.4665;-95.4264;-85.6659;-88.7933;-93.6986;-86.5922;-63.1220;-82.6827;-64.2963;-91.4096;-63.4015;-83.5077;-66.4847;-51.0496;-40.8375;-46.9719;-41.4104;-57.8777;-75.2547;-69.1292;-79.0319;-86.8460;-70.8104;-68.9439;-93.7542;-78.9201
0.10,0,1,57268259,51.3310,8,-319.8214;-232.7377;-255.5053;-115.9515;-307.1740;-133.5188;-137.9535;-298.0406;-332.8469;-202.3427;-295.6327;-209.2184;-298.6987;-192.8974;-240.5509;-321.2708;-283.0492;-321.7457;-300.2755;-387.3167;-286.6920;-204.6138;-281.0891;-313.2182;-279.9717;-316.4522;-303.7851;-211.3783;-216.5440;-335.7608;-311.7376;-285.6843;-310.2427;-334.0168;-218.3642;-295.7796
0.10,0,1,57314051,39.3539,11,-750.5709;-698.3303;-763.0332;-749.7375;-777.1264;-689.0260;-578.1874;-749.9939;-685.5815;-725.6148;-708.5376;-563.9589;-643.3285;-477.7550;-772.2667;-550.6650;-602.1299;-452.8769;-508.6320;-378.9971;-638.2142;-452.4743;-321.0034;-304.7051;-459.9980;-605.9436;-541.8777;-514.5240;-544.0989;-503.5010;-559.4175;-708.9299;-406.4883;-667.6144;-630.1659;-586.3932
0.10,0,0,57315711,40.7937,8,-85.5597;-102.8336;-93.7493;-100.1887;-103.2652;-98.7029;-82.2599;-96.5567;-91.1342;-77.9466;-95.0083;-83.4064;-90.1177;-87.5850;-83.1887;-89.6555;-81.8297;-70.9700;-69.8670;-73.7147;-54.1292;-52.9170;-41.9435;-41.4671;-34.9922;-27.1015;-26.8513;-24.6416;-27.1572;-31.1488;-29.2301;-24.6084;-28.1989;-20.0395;-21.5502;-23.7525
